pergunta,a,b,c,d,correta
O que a ISO/IEC 27001 recomenda sobre a documentação de riscos?,Apenas para grandes organizações,Mantê-la atualizada e acessível,Eliminá-la após auditorias,Delegá-la a terceiros,B
Qual é o papel do treinamento em um SGSI?,Garantir backups,Aumentar a conscientização sobre segurança,Simplificar processos,Evitar vulnerabilidades técnicas,B
Qual é o impacto de um SGSI mal implementado?,Aumento de competitividade,Maior exposição a riscos e falhas,Eliminação de custos de segurança,Simplificação de auditorias,B
O que deve ser incluído em uma análise de riscos?,Somente ativos digitais,Todos os ativos e possíveis ameaças,Apenas vulnerabilidades críticas,Somente controles existentes,B
Qual é a finalidade do Anexo A na ISO/IEC 27001?,Eliminar auditorias internas,Fornecer controles recomendados para segurança,Garantir backup automático,Simplificar operações,B
Qual é o objetivo de uma política de segurança de senhas?,Simplificar acessos,Garantir senhas fortes e seguras,Eliminar senhas,Evitar acessos remotos,B
O que é auditoria externa na ISO/IEC 27001?,Revisão de conformidade por partes independentes,Checagem interna de TI,Avaliação mensal da equipe,Processo automático,A
Como a ISO 27001 trata o uso de criptografia?,Como opcional,Como um controle técnico fundamental,Como obrigação legal,Somente em servidores,B
Qual é o propósito do controle de acesso físico?,Permitir acesso irrestrito,Prevenir acessos não autorizados,Reduzir custos operacionais,Melhorar desempenho da equipe,B
O que deve conter no escopo do SGSI?,Apenas servidores críticos,Os limites e aplicabilidade do SGSI,Relatórios financeiros,Todos os dados da empresa,B
Como os fornecedores devem ser gerenciados na ISO 27001?,Sem monitoramento,Avaliados quanto à segurança da informação,Com acessos irrestritos,Delegando responsabilidades,B
O que a cláusula 6 aborda?,Segurança física,Planejamento do SGSI,Backup automático,Gestão de ativos,B
O que representa a cláusula 8?,Operação do SGSI,Gestão de riscos,Auditoria externa,Implementação de ferramentas,A
Qual é a importância de registros no SGSI?,Evidenciar conformidade e ações tomadas,Eliminá-los após auditorias,Facilitar backups,Garantir operações manuais,A
Qual é a abordagem principal da ISO/IEC 27001?,Proativa e baseada em riscos,Reativa e emergencial,Automática por ferramentas,Somente auditorias externas,A
Como tratar vulnerabilidades identificadas?,Ignorar se forem pequenas,Implementar ações corretivas,Transferir para terceiros,Delegar a auditorias externas,B
Quais informações devem ser protegidas na ISO 27001?,Apenas dados financeiros,Todas as informações relevantes à organização,Somente relatórios anuais,Apenas informações públicas,B
O que significa governança de TI?,Delegar responsabilidades de segurança,Gerir e estruturar processos e políticas de TI,Reduzir custos operacionais,Focar apenas em segurança física,B
Qual é o papel de uma política de segurança de informação?,Evitar falhas de TI,Definir diretrizes e responsabilidades de segurança,Apenas monitorar redes,Garantir backups automáticos,B
Como são classificados os ativos na ISO 27001?,Sigilosos, críticos e públicos,Conforme impacto e valor para a organização,Apenas pela criticidade,B
O que são controles organizacionais?,Softwares de TI,Políticas e diretrizes implementadas,Firewalls e antivírus,Apenas backups,B
Como a ISO 27001 define um incidente de segurança?,Algo que fortalece a segurança,Violação ou ameaça à política de segurança,Falha operacional,Evento irrelevante,B
Qual é o papel da análise de impacto no SGSI?,Avaliar custos operacionais,Identificar consequências de riscos,Evitar auditorias externas,Facilitar uso de ferramentas,B
Por que a documentação é essencial na ISO/IEC 27001?,Para cumprir exigências legais,Evidenciar conformidade e auditoria,Simplificar operações manuais,Evitar falhas técnicas,B
Quais são os três pilares da segurança da informação?,Confidencialidade - integridade - disponibilidade,Conectividade - mobilidade - acessibilidade,Criptografia - antivírus - backups,Sigilo - rede - usuário,A
Qual é a importância do ciclo PDCA na ISO/IEC 27001?,Implementar melhorias contínuas,Eliminar necessidade de auditorias,Simplificar relatórios,Evitar vulnerabilidades externas,A
Como deve ser feita a avaliação de riscos?,Periodicamente e com base em métodos definidos,Apenas após incidentes,Automatizada por software,Sempre que exigido por auditoria,A
Qual é a finalidade da ISO 27002?,Apoiar implementação dos controles da ISO 27001,Gerar relatórios financeiros,Reduzir custos operacionais,Facilitar backups,A
Por que a ISO/IEC 27001 enfatiza a liderança?,Para supervisionar auditorias,Para garantir suporte e comprometimento no SGSI,Simplificar relatórios,Apenas definir orçamento,B
Como garantir a eficácia de um SGSI?,Revisando o ciclo PDCA regularmente,Implementando software de segurança,Delegando responsabilidades externas,Simplificando operações,A
